"setpoint_db","freq_hz:measured_gain_db"
-94.500000,109863.281250:-29.510700;10107421.875000:-29.385341;20104980.468750:-29.744874;30102539.062500:-29.976234;40100097.656250:-30.077314;50097656.250000:-30.130610;60095214.843750:-30.193232;70092773.437500:-30.275992;80090332.031250:-30.368026;90087890.625000:-30.458500;100085449.218750:-30.544031;110083007.812500:-30.624541;120080566.406250:-30.696753;130078125.000000:-30.756671;140075683.593750:-30.806585;150073242.187500:-30.853732;160070800.781250:-30.906718;170068359.375000:-30.979036;180065917.968750:-31.086181;190063476.562500:-31.231873;200061035.156250:-31.400842;210058593.750000:-31.569392;220056152.343750:-31.722211;230053710.937500:-31.860812;240051269.531250:-32.002798;250048828.125000:-32.168518;260046386.718750:-32.364523;270043945.312500:-32.575704;280041503.906250:-32.770617;290039062.500000:-32.929755;300036621.093750:-33.052380;310034179.687500:-33.169490;320031738.281250:-33.283283;330029296.875000:-33.342255;340026855.468750:-33.313161;350024414.062500:-33.239895;360021972.656250:-33.180859;370019531.250000:-33.147457;380017089.843750:-33.128724;390014648.437500:-33.133320;400012207.031250:-33.166434;410009765.625000:-33.237651;420007324.218750:-33.350660;430004882.812500:-33.501922;440002441.406250:-33.682131;450000000.000000:-33.883466;459997558.593750:-34.105707;469995117.187500:-34.357620;479992675.781250:-34.647394;489990234.375000:-34.979630;499987792.968750:-35.338902;509985351.562500:-35.713013;519982910.156250:-36.069888;529980468.750000:-36.363098;539978027.343750:-36.595079;549975585.937500:-36.835988;559973144.531250:-37.126843;569970703.125000:-37.424590;579968261.718750:-37.658676;589965820.312500:-37.798476;599963378.906250:-37.833096;609960937.500000:-37.770157;619958496.093750:-37.619305;629956054.687500:-37.393791;639953613.281250:-37.115324;649951171.875000:-36.818169;659948730.468750:-36.546310;669946289.062500:-36.346447;679943847.656250:-36.259268;689941406.250000:-36.322307;699938964.843750:-36.552467;709936523.437500:-36.959613;719934082.031250:-37.506819;729931640.625000:-38.091906;739929199.218750:-38.620969;749926757.812500:-39.095077;759924316.406250:-39.606976;769921875.000000:-40.338344;779919433.593750:-41.588738;789916992.187500:-43.687063;799914550.781250:-46.754934;809912109.375000:-50.614331
-94.000000,109863.281250:-30.365643;10107421.875000:-29.615327;20104980.468750:-29.517328;30102539.062500:-29.527998;40100097.656250:-29.556689;50097656.250000:-29.596068;60095214.843750:-29.655029;70092773.437500:-29.735217;80090332.031250:-29.827559;90087890.625000:-29.921507;100085449.218750:-30.012148;110083007.812500:-30.096928;120080566.406250:-30.171401;130078125.000000:-30.232826;140075683.593750:-30.285533;150073242.187500:-30.337288;160070800.781250:-30.395456;170068359.375000:-30.471301;180065917.968750:-30.578202;190063476.562500:-30.719522;200061035.156250:-30.881895;210058593.750000:-31.044778;220056152.343750:-31.195295;230053710.937500:-31.334924;240051269.531250:-31.478620;250048828.125000:-31.643633;260046386.718750:-31.835717;270043945.312500:-32.041669;280041503.906250:-32.232411;290039062.500000:-32.377812;300036621.093750:-32.465492;310034179.687500:-32.505357;320031738.281250:-32.520112;330029296.875000:-32.532817;340026855.468750:-32.557722;350024414.062500:-32.591498;360021972.656250:-32.629328;370019531.250000:-32.672595;380017089.843750:-32.749888;390014648.437500:-32.859053;400012207.031250:-32.942087;410009765.625000:-32.961692;420007324.218750:-32.969319;430004882.812500:-33.037354;440002441.406250:-33.179249;450000000.000000:-33.367480;459997558.593750:-33.589163;469995117.187500:-33.839390;479992675.781250:-34.125297;489990234.375000:-34.440991;499987792.968750:-34.762018;509985351.562500:-35.057270;519982910.156250:-35.315573;529980468.750000:-35.564189;539978027.343750:-35.851387;549975585.937500:-36.198621;559973144.531250:-36.583109;569970703.125000:-36.952431;579968261.718750:-37.277124;589965820.312500:-37.517494;599963378.906250:-37.600545;609960937.500000:-37.486860;619958496.093750:-37.232345;629956054.687500:-36.924388;639953613.281250:-36.606742;649951171.875000:-36.294966;659948730.468750:-36.022678;669946289.062500:-35.825202;679943847.656250:-35.742252;689941406.250000:-35.797677;699938964.843750:-35.995029;709936523.437500:-36.322867;719934082.031250:-36.766292;729931640.625000:-37.300139;739929199.218750:-37.879881;749926757.812500:-38.459396;759924316.406250:-39.066480;769921875.000000:-39.870583;779919433.593750:-41.210051;789916992.187500:-43.405722;799914550.781250:-46.522259;809912109.375000:-50.341009
-93.500000,109863.281250:-29.861623;10107421.875000:-29.105691;20104980.468750:-29.008493;30102539.062500:-29.019526;40100097.656250:-29.047255;50097656.250000:-29.083909;60095214.843750:-29.139071;70092773.437500:-29.216360;80090332.031250:-29.309065;90087890.625000:-29.407297;100085449.218750:-29.503923;110083007.812500:-29.593080;120080566.406250:-29.669298;130078125.000000:-29.731701;140075683.593750:-29.786979;150073242.187500:-29.843500;160070800.781250:-29.907138;170068359.375000:-29.986497;180065917.968750:-30.092588;190063476.562500:-30.228429;200061035.156250:-30.383019;210058593.750000:-30.539635;220056152.343750:-30.688257;230053710.937500:-30.829986;240051269.531250:-30.976316;250048828.125000:-31.140662;260046386.718750:-31.327475;270043945.312500:-31.525650;280041503.906250:-31.709953;290039062.500000:-31.853233;300036621.093750:-31.943308;310034179.687500:-31.987879;320031738.281250:-32.007100;330029296.875000:-32.023149;340026855.468750:-32.051658;350024414.062500:-32.091369;360021972.656250:-32.129959;370019531.250000:-32.159053;380017089.843750:-32.191376;390014648.437500:-32.237621;400012207.031250:-32.288793;410009765.625000:-32.338503;420007324.218750:-32.407627;430004882.812500:-32.521737;440002441.406250:-32.683699;450000000.000000:-32.880673;459997558.593750:-33.105308;469995117.187500:-33.356933;479992675.781250:-33.641535;489990234.375000:-33.955520;499987792.968750:-34.277644;509985351.562500:-34.577804;519982910.156250:-34.843263;529980468.750000:-35.098914;539978027.343750:-35.391093;549975585.937500:-35.739979;559973144.531250:-36.114807;569970703.125000:-36.455614;579968261.718750:-36.720200;589965820.312500:-36.883544;599963378.906250:-36.922434;609960937.500000:-36.829414;619958496.093750:-36.630777;629956054.687500:-36.366087;639953613.281250:-36.065955;649951171.875000:-35.760177;659948730.468750:-35.491006;669946289.062500:-35.301168;679943847.656250:-35.228230;689941406.250000:-35.292468;699938964.843750:-35.494817;709936523.437500:-35.824271;719934082.031250:-36.268791;729931640.625000:-36.805958;739929199.218750:-37.391612;749926757.812500:-37.977697;759924316.406250:-38.581143;769921875.000000:-39.360502;779919433.593750:-40.639340;789916992.187500:-42.755197;799914550.781250:-45.829290;809912109.375000:-49.683933
-93.000000,109863.281250:-29.324703;10107421.875000:-28.564714;20104980.468750:-28.468928;30102539.062500:-28.480358;40100097.656250:-28.506527;50097656.250000:-28.539250;60095214.843750:-28.588945;70092773.437500:-28.661569;80090332.031250:-28.753224;90087890.625000:-28.855151;100085449.218750:-28.958300;110083007.812500:-29.053422;120080566.406250:-29.133384;130078125.000000:-29.198375;140075683.593750:-29.257238;150073242.187500:-29.319431;160070800.781250:-29.389631;170068359.375000:-29.473157;180065917.968750:-29.577781;190063476.562500:-29.706336;200061035.156250:-29.851600;210058593.750000:-30.001992;220056152.343750:-30.149976;230053710.937500:-30.295054;240051269.531250:-30.444625;250048828.125000:-30.608378;260046386.718750:-30.789659;270043945.312500:-30.979525;280041503.906250:-31.156528;290039062.500000:-31.296177;300036621.093750:-31.386442;310034179.687500:-31.433505;320031738.281250:-31.456016;330029296.875000:-31.475847;340026855.468750:-31.509481;350024414.062500:-31.556718;360021972.656250:-31.620617;370019531.250000:-31.706511;380017089.843750:-31.852024;390014648.437500:-32.038496;400012207.031250:-32.157109;410009765.625000:-32.138299;420007324.218750:-32.066168;430004882.812500:-32.068412;440002441.406250:-32.179745;450000000.000000:-32.361432;459997558.593750:-32.587991;469995117.187500:-32.839080;479992675.781250:-33.118757;489990234.375000:-33.425494;499987792.968750:-33.742310;509985351.562500:-34.042030;519982910.156250:-34.311684;529980468.750000:-34.573814;539978027.343750:-34.872243;549975585.937500:-35.225687;559973144.531250:-35.618348;569970703.125000:-36.005569;579968261.718750:-36.372077;589965820.312500:-36.665710;599963378.906250:-36.766171;609960937.500000:-36.604401;619958496.093750:-36.268275;629956054.687500:-35.895303;639953613.281250:-35.544912;649951171.875000:-35.221802;659948730.468750:-34.954183;669946289.062500:-34.769428;679943847.656250:-34.703595;689941406.250000:-34.774786;699938964.843750:-34.982393;709936523.437500:-35.314897;719934082.031250:-35.760565;729931640.625000:-36.297718;739929199.218750:-36.883831;749926757.812500:-37.472656;759924316.406250:-38.096811;769921875.000000:-38.927450;779919433.593750:-40.310862;789916992.187500:-42.555877;799914550.781250:-45.689557;809912109.375000:-49.477853
-92.500000,109863.281250:-28.792901;10107421.875000:-28.019083;20104980.468750:-27.918902;30102539.062500:-27.930896;40100097.656250:-27.962590;50097656.250000:-28.003629;60095214.843750:-28.061302;70092773.437500:-28.139386;80090332.031250:-28.233952;90087890.625000:-28.337154;100085449.218750:-28.439681;110083007.812500:-28.531161;120080566.406250:-28.604593;130078125.000000:-28.662045;140075683.593750:-28.714602;150073242.187500:-28.773347;160070800.781250:-28.843409;170068359.375000:-28.929105;180065917.968750:-29.036489;190063476.562500:-29.167548;200061035.156250:-29.315255;210058593.750000:-29.468171;220056152.343750:-29.618426;230053710.937500:-29.765064;240051269.531250:-29.915451;250048828.125000:-30.079786;260046386.718750:-30.262514;270043945.312500:-30.455945;280041503.906250:-30.638772;290039062.500000:-30.784765;300036621.093750:-30.878977;310034179.687500:-30.925516;320031738.281250:-30.943421;330029296.875000:-30.957182;340026855.468750:-30.986465;350024414.062500:-31.032376;360021972.656250:-31.087206;370019531.250000:-31.144256;380017089.843750:-31.223305;390014648.437500:-31.323182;400012207.031250:-31.396291;410009765.625000:-31.411755;420007324.218750:-31.416465;430004882.812500:-31.479361;440002441.406250:-31.619752;450000000.000000:-31.816147;459997558.593750:-32.052026;469995117.187500:-32.314997;479992675.781250:-32.607847;489990234.375000:-32.928170;499987792.968750:-33.257490;509985351.562500:-33.565452;519982910.156250:-33.835065;529980468.750000:-34.086183;539978027.343750:-34.363224;549975585.937500:-34.689123;559973144.531250:-35.045366;569970703.125000:-35.384245;579968261.718750:-35.678436;589965820.312500:-35.893381;599963378.906250:-35.965905;609960937.500000:-35.861146;619958496.093750:-35.626820;629956054.687500:-35.338495;639953613.281250:-35.035358;649951171.875000:-34.734860;659948730.468750:-34.472652;669946289.062500:-34.285837;679943847.656250:-34.213318;689941406.250000:-34.277542;699938964.843750:-34.482961;709936523.437500:-34.822058;719934082.031250:-35.282946;729931640.625000:-35.837700;739929199.218750:-36.433911;749926757.812500:-37.018387;759924316.406250:-37.616568;769921875.000000:-38.401965;779919433.593750:-39.716271;789916992.187500:-41.882832;799914550.781250:-44.973163;809912109.375000:-48.783207
-92.000000,109863.281250:-28.262070;10107421.875000:-27.483856;20104980.468750:-27.384481;30102539.062500:-27.395921;40100097.656250:-27.425354;50097656.250000:-27.462390;60095214.843750:-27.514811;70092773.437500:-27.588200;80090332.031250:-27.681340;90087890.625000:-27.787803;100085449.218750:-27.896571;110083007.812500:-27.993866;120080566.406250:-28.070756;130078125.000000:-28.129674;140075683.593750:-28.183695;150073242.187500:-28.246126;160070800.781250:-28.322199;170068359.375000:-28.413107;180065917.968750:-28.521365;190063476.562500:-28.648277;200061035.156250:-28.789167;210058593.750000:-28.935857;220056152.343750:-29.082619;230053710.937500:-29.228029;240051269.531250:-29.377013;250048828.125000:-29.537469;260046386.718750:-29.713817;270043945.312500:-29.900548;280041503.906250:-30.079109;290039062.500000:-30.224501;300036621.093750:-30.321038;310034179.687500:-30.371085;320031738.281250:-30.392494;330029296.875000:-30.410129;340026855.468750:-30.445036;350024414.062500:-30.499121;360021972.656250:-30.562771;370019531.250000:-30.626287;380017089.843750:-30.705680;390014648.437500:-30.801044;400012207.031250:-30.871814;410009765.625000:-30.891163;420007324.218750:-30.901080;430004882.812500:-30.964681;440002441.406250:-31.102429;450000000.000000:-31.297147;459997558.593750:-31.532592;469995117.187500:-31.794463;479992675.781250:-32.083518;489990234.375000:-32.398274;499987792.968750:-32.723139;509985351.562500:-33.030763;519982910.156250:-33.305252;529980468.750000:-33.564273;539978027.343750:-33.848175;549975585.937500:-34.177799;559973144.531250:-34.535028;569970703.125000:-34.873946;579968261.718750:-35.165758;589965820.312500:-35.376022;599963378.906250:-35.446476;609960937.500000:-35.345621;619958496.093750:-35.116508;629956054.687500:-34.828855;639953613.281250:-34.522373;649951171.875000:-34.219122;659948730.468750:-33.957010;669946289.062500:-33.773790;679943847.656250:-33.706288;689941406.250000:-33.774455;699938964.843750:-33.980846;709936523.437500:-34.318101;719934082.031250:-34.775672;729931640.625000:-35.327081;739929199.218750:-35.920931;749926757.812500:-36.505115;759924316.406250:-37.104052;769921875.000000:-37.888818;779919433.593750:-39.196999;789916992.187500:-41.354013;799914550.781250:-44.442322;809912109.375000:-48.268964
-91.500000,109863.281250:-27.764008;10107421.875000:-26.980213;20104980.468750:-26.881467;30102539.062500:-26.892457;40100097.656250:-26.919967;50097656.250000:-26.953380;60095214.843750:-27.001290;70092773.437500:-27.071262;80090332.031250:-27.163871;90087890.625000:-27.272934;100085449.218750:-27.386081;110083007.812500:-27.487715;120080566.406250:-27.567711;130078125.000000:-27.628771;140075683.593750:-27.685410;150073242.187500:-27.752233;160070800.781250:-27.834116;170068359.375000:-27.929458;180065917.968750:-28.036776;190063476.562500:-28.156342;200061035.156250:-28.287514;210058593.750000:-28.427772;220056152.343750:-28.573282;230053710.937500:-28.720039;240051269.531250:-28.868964;250048828.125000:-29.025464;260046386.718750:-29.194120;270043945.312500:-29.372206;280041503.906250:-29.544825;290039062.500000:-29.689506;300036621.093750:-29.790261;310034179.687500:-29.847012;320031738.281250:-29.875172;330029296.875000:-29.898915;340026855.468750:-29.940378;350024414.062500:-30.002531;360021972.656250:-30.070779;370019531.250000:-30.129031;380017089.843750:-30.184708;390014648.437500:-30.246097;400012207.031250:-30.300218;410009765.625000:-30.336703;420007324.218750:-30.379942;430004882.812500:-30.467328;440002441.406250:-30.614162;450000000.000000:-30.811604;459997558.593750:-31.045773;469995117.187500:-31.303744;479992675.781250:-31.586016;489990234.375000:-31.894513;499987792.968750:-32.218175;509985351.562500:-32.531602;519982910.156250:-32.817035;529980468.750000:-33.088055;539978027.343750:-33.380990;549975585.937500:-33.714681;559973144.531250:-34.067866;569970703.125000:-34.393243;579968261.718750:-34.656625;589965820.312500:-34.830125;599963378.906250:-34.879428;609960937.500000:-34.788473;619958496.093750:-34.585378;629956054.687500:-34.316993;639953613.281250:-34.018306;649951171.875000:-33.719122;659948730.468750:-33.460211;669946289.062500:-33.281314;679943847.656250:-33.217173;689941406.250000:-33.286526;699938964.843750:-33.491903;709936523.437500:-33.826034;719934082.031250:-34.278203;729931640.625000:-34.822504;739929199.218750:-35.410392;749926757.812500:-35.993705;759924316.406250:-36.594042;769921875.000000:-37.375217;779919433.593750:-38.664775;789916992.187500:-40.798496;799914550.781250:-43.891378;809912109.375000:-47.769736
-91.000000,109863.281250:-27.231831;10107421.875000:-26.444168;20104980.468750:-26.346771;30102539.062500:-26.357183;40100097.656250:-26.381939;50097656.250000:-26.410783;60095214.843750:-26.453193;70092773.437500:-26.518793;80090332.031250:-26.610498;90087890.625000:-26.722689;100085449.218750:-26.840846;110083007.812500:-26.946824;120080566.406250:-27.029864;130078125.000000:-27.093735;140075683.593750:-27.154045;150073242.187500:-27.225819;160070800.781250:-27.313024;170068359.375000:-27.411658;180065917.968750:-27.517213;190063476.562500:-27.629291;200061035.156250:-27.750768;210058593.750000:-27.884509;220056152.343750:-28.029120;230053710.937500:-28.178253;240051269.531250:-28.328286;250048828.125000:-28.481728;260046386.718750:-28.643220;270043945.312500:-28.812766;280041503.906250:-28.979206;290039062.500000:-29.122081;300036621.093750:-29.224169;310034179.687500:-29.282785;320031738.281250:-29.312487;330029296.875000:-29.339066;340026855.468750:-29.386642;350024414.062500:-29.458523;360021972.656250:-29.533607;370019531.250000:-29.613016;380017089.843750:-29.718151;390014648.437500:-29.907770;400012207.031250:-30.155734;410009765.625000:-30.315666;420007324.218750:-30.294101;430004882.812500:-30.196940;440002441.406250:-30.188653;450000000.000000:-30.314976;459997558.593750:-30.524058;469995117.187500:-30.780753;479992675.781250:-31.058565;489990234.375000:-31.359933;499987792.968750:-31.677267;509985351.562500:-31.988794;519982910.156250:-32.278053;529980468.750000:-32.557059;539978027.343750:-32.858978;549975585.937500:-33.199984;559973144.531250:-33.553159;569970703.125000:-33.891017;579968261.718750:-34.195299;589965820.312500:-34.489109;599963378.906250:-34.725143;609960937.500000:-34.752205;619958496.093750:-34.481895;629956054.687500:-34.029311;639953613.281250:-33.576666;649951171.875000:-33.207008;659948730.468750:-32.924800;669946289.062500:-32.750857;679943847.656250:-32.694155;689941406.250000:-32.770950;699938964.843750:-32.981888;709936523.437500:-33.318864;719934082.031250:-33.771238;729931640.625000:-34.314226;739929199.218750:-34.901663;749926757.812500:-35.487216;759924316.406250:-36.087286;769921875.000000:-36.882139;779919433.593750:-38.211085;789916992.187500:-40.460053;799914550.781250:-43.735846;809912109.375000:-47.737218
-90.500000,109863.281250:-26.735629;10107421.875000:-25.935286;20104980.468750:-25.833709;30102539.062500:-25.844513;40100097.656250:-25.874690;50097656.250000:-25.912168;60095214.843750:-25.963535;70092773.437500:-26.035603;80090332.031250:-26.129847;90087890.625000:-26.240928;100085449.218750:-26.355321;110083007.812500:-26.455663;120080566.406250:-26.531924;130078125.000000:-26.588725;140075683.593750:-26.642670;150073242.187500:-26.709979;160070800.781250:-26.795800;170068359.375000:-26.896024;180065917.968750:-27.004705;190063476.562500:-27.120169;200061035.156250:-27.244918;210058593.750000:-27.381383;220056152.343750:-27.527229;230053710.937500:-27.675897;240051269.531250:-27.824942;250048828.125000:-27.978385;260046386.718750:-28.142118;270043945.312500:-28.316720;280041503.906250:-28.490184;290039062.500000:-28.639728;300036621.093750:-28.745539;310034179.687500:-28.803808;320031738.281250:-28.830286;330029296.875000:-28.853267;340026855.468750:-28.898877;350024414.062500:-28.970718;360021972.656250:-29.072084;370019531.250000:-29.203093;380017089.843750:-29.404307;390014648.437500:-29.646415;400012207.031250:-29.785735;410009765.625000:-29.729408;420007324.218750:-29.585854;430004882.812500:-29.526366;440002441.406250:-29.607129;450000000.000000:-29.786087;459997558.593750:-30.028273;469995117.187500:-30.296189;479992675.781250:-30.586958;489990234.375000:-30.902287;499987792.968750:-31.232753;509985351.562500:-31.553351;519982910.156250:-31.843930;529980468.750000:-32.114076;539978027.343750:-32.397308;549975585.937500:-32.713555;559973144.531250:-33.067549;569970703.125000:-33.438511;579968261.718750:-33.832516;589965820.312500:-34.185491;599963378.906250:-34.329775;609960937.500000:-34.163662;619958496.093750:-33.796910;629956054.687500:-33.406432;639953613.281250:-33.061927;649951171.875000:-32.754837;659948730.468750:-32.504760;669946289.062500:-32.330844;679943847.656250:-32.268508;689941406.250000:-32.338184;699938964.843750:-32.546047;709936523.437500:-32.888590;719934082.031250:-33.355109;729931640.625000:-33.914680;739929199.218750:-34.511628;749926757.812500:-35.093277;759924316.406250:-35.703819;769921875.000000:-36.535023;779919433.593750:-37.956760;789916992.187500:-40.264394;799914550.781250:-43.432187;809912109.375000:-47.203244
-90.000000,109863.281250:-26.212450;10107421.875000:-25.407252;20104980.468750:-25.306536;30102539.062500:-25.317024;40100097.656250:-25.345520;50097656.250000:-25.380032;60095214.843750:-25.427586;70092773.437500:-25.496094;80090332.031250:-25.588518;90087890.625000:-25.700372;100085449.218750:-25.817352;110083007.812500:-25.920611;120080566.406250:-25.999599;130078125.000000:-26.059316;140075683.593750:-26.116495;150073242.187500:-26.187307;160070800.781250:-26.276485;170068359.375000:-26.378508;180065917.968750:-26.485414;190063476.562500:-26.595110;200061035.156250:-26.712393;210058593.750000:-26.842992;220056152.343750:-26.986136;230053710.937500:-27.134272;240051269.531250:-27.282646;250048828.125000:-27.433426;260046386.718750:-27.591816;270043945.312500:-27.759018;280041503.906250:-27.924795;290039062.500000:-28.068668;300036621.093750:-28.172546;310034179.687500:-28.233089;320031738.281250:-28.265310;330029296.875000:-28.296014;340026855.468750:-28.350044;350024414.062500:-28.457783;360021972.656250:-28.623937;370019531.250000:-28.870157;380017089.843750:-29.142732;390014648.437500:-29.284663;400012207.031250:-29.204799;410009765.625000:-29.021173;420007324.218750:-28.911738;430004882.812500:-28.935612;440002441.406250:-29.058783;450000000.000000:-29.258670;459997558.593750:-29.498009;469995117.187500:-29.762838;479992675.781250:-30.048905;489990234.375000:-30.358830;499987792.968750:-30.685878;509985351.562500:-31.007492;519982910.156250:-31.304199;529980468.750000:-31.583785;539978027.343750:-31.876236;549975585.937500:-32.225578;559973144.531250:-32.637187;569970703.125000:-33.113594;579968261.718750:-33.568984;589965820.312500:-33.813332;599963378.906250:-33.732767;609960937.500000:-33.437171;619958496.093750:-33.105421;629956054.687500:-32.800880;639953613.281250:-32.501798;649951171.875000:-32.219211;659948730.468750:-31.971789;669946289.062500:-31.803801;679943847.656250:-31.748748;689941406.250000:-31.824798;699938964.843750:-32.036923;709936523.437500:-32.381861;719934082.031250:-32.849432;729931640.625000:-33.408891;739929199.218750:-34.005043;749926757.812500:-34.613617;759924316.406250:-35.280846;769921875.000000:-36.219333;779919433.593750:-37.702905;789916992.187500:-39.899208;799914550.781250:-42.838768;809912109.375000:-46.482398
-89.500000,109863.281250:-25.722514;10107421.875000:-24.912905;20104980.468750:-24.812450;30102539.062500:-24.822023;40100097.656250:-24.848234;50097656.250000:-24.879209;60095214.843750:-24.922879;70092773.437500:-24.988808;80090332.031250:-25.081091;90087890.625000:-25.194815;100085449.218750:-25.314299;110083007.812500:-25.419886;120080566.406250:-25.501076;130078125.000000:-25.562961;140075683.593750:-25.622149;150073242.187500:-25.694900;160070800.781250:-25.786132;170068359.375000:-25.889449;180065917.968750:-25.994862;190063476.562500:-26.099350;200061035.156250:-26.209546;210058593.750000:-26.334462;220056152.343750:-26.474998;230053710.937500:-26.622519;240051269.531250:-26.769608;250048828.125000:-26.916272;260046386.718750:-27.067649;270043945.312500:-27.226937;280041503.906250:-27.386472;290039062.500000:-27.527448;300036621.093750:-27.631944;310034179.687500:-27.695832;320031738.281250:-27.733139;330029296.875000:-27.770012;340026855.468750:-27.831094;350024414.062500:-27.919937;360021972.656250:-28.014747;370019531.250000:-28.089571;380017089.843750:-28.137608;390014648.437500:-28.171795;400012207.031250:-28.208493;410009765.625000:-28.257031;420007324.218750:-28.324423;430004882.812500:-28.422891;440002441.406250:-28.567236;450000000.000000:-28.762804;459997558.593750:-28.999254;469995117.187500:-29.261395;479992675.781250:-29.543975;489990234.375000:-29.850288;499987792.968750:-30.175812;509985351.562500:-30.500402;519982910.156250:-30.805486;529980468.750000:-31.096931;539978027.343750:-31.400539;549975585.937500:-31.729591;559973144.531250:-32.061930;569970703.125000:-32.354565;579968261.718750:-32.571840;589965820.312500:-32.696018;599963378.906250:-32.721539;609960937.500000:-32.649796;619958496.093750:-32.489512;629956054.687500:-32.257874;639953613.281250:-31.981807;649951171.875000:-31.699462;659948730.468750:-31.456216;669946289.062500:-31.295103;679943847.656250:-31.247394;689941406.250000:-31.328891;699938964.843750:-31.543326;709936523.437500:-31.887553;719934082.031250:-32.352565;729931640.625000:-32.909245;739929199.218750:-33.504646;749926757.812500:-34.089098;759924316.406250:-34.681415;769921875.000000:-35.443120;779919433.593750:-36.693298;789916992.187500:-38.773868;799914550.781250:-41.830427;809912109.375000:-45.719743
