"setpoint_db","freq_hz:measured_gain_db"
-94.500000,600018310.546875:-65.891272;620013427.734375:-65.798856;640008544.921875:-64.539448;660003662.109375:-59.973390;679998779.296875:-51.634281;699993896.484375:-43.529458;719989013.671875:-39.346798;739984130.859375:-37.974898;759979248.046875:-37.233657;779974365.234375:-36.166891;799969482.421875:-34.821788;819964599.609375:-34.520798;839959716.796875:-35.216668;859954833.984375:-35.796026;879949951.171875:-35.539392;899945068.359375:-34.792532;919940185.546875:-34.710549;939935302.734375:-35.864468;959930419.921875:-36.952440;979925537.109375:-36.787398;999920654.296875:-36.173199;1019915771.484375:-36.166189;1039910888.671875:-36.431341;1059906005.859375:-37.240905;1079901123.046875:-39.406143;1099896240.234375:-42.605004;1119891357.421875:-48.274028;1139886474.609375:-56.304928;1159881591.796875:-61.845877;1179876708.984375:-64.511362;1179876708.984375:-64.511362
-94.000000,600018310.546875:-65.734647;620013427.734375:-65.334072;640008544.921875:-63.276480;660003662.109375:-57.773471;679998779.296875:-49.507983;699993896.484375:-41.803714;719989013.671875:-37.778864;739984130.859375:-36.442462;759979248.046875:-35.881385;779974365.234375:-35.644405;799969482.421875:-35.586734;819964599.609375:-35.909133;839959716.796875:-36.714905;859954833.984375:-37.309530;879949951.171875:-36.922350;899945068.359375:-35.453271;919940185.546875:-34.037623;939935302.734375:-34.450441;959930419.921875:-35.389818;979925537.109375:-35.231416;999920654.296875:-34.651121;1019915771.484375:-34.660043;1039910888.671875:-34.859455;1059906005.859375:-34.981039;1079901123.046875:-35.746293;1099896240.234375:-38.227412;1119891357.421875:-43.987170;1139886474.609375:-52.618692;1159881591.796875:-59.185679;1179876708.984375:-62.878363;1179876708.984375:-62.878363
-93.500000,600018310.546875:-65.713017;620013427.734375:-65.397218;640008544.921875:-63.572141;660003662.109375:-58.041089;679998779.296875:-48.917153;699993896.484375:-40.474970;719989013.671875:-36.219956;739984130.859375:-34.860745;759979248.046875:-34.322055;779974365.234375:-34.098233;799969482.421875:-34.043774;819964599.609375:-34.362197;839959716.796875:-35.152955;859954833.984375:-35.640303;879949951.171875:-34.675807;899945068.359375:-32.566553;919940185.546875:-31.706868;939935302.734375:-32.750354;959930419.921875:-33.845397;979925537.109375:-33.712118;999920654.296875:-33.239806;1019915771.484375:-33.376771;1039910888.671875:-33.433958;1059906005.859375:-33.383801;1079901123.046875:-34.169619;1099896240.234375:-36.716394;1119891357.421875:-42.533095;1139886474.609375:-51.326045;1159881591.796875:-58.244327;1179876708.984375:-62.314683;1179876708.984375:-62.314683
-93.000000,600018310.546875:-65.428083;620013427.734375:-64.768897;640008544.921875:-62.574474;660003662.109375:-56.810790;679998779.296875:-47.531313;699993896.484375:-38.979478;719989013.671875:-34.671492;739984130.859375:-33.323933;759979248.046875:-32.813736;779974365.234375:-32.607261;799969482.421875:-32.564838;819964599.609375:-32.869356;839959716.796875:-33.630289;859954833.984375:-34.106494;879949951.171875:-33.121189;899945068.359375:-30.992003;919940185.546875:-30.186354;939935302.734375:-31.282457;959930419.921875:-32.386092;979925537.109375:-32.219164;999920654.296875:-31.637843;1019915771.484375:-31.683780;1039910888.671875:-31.867358;1059906005.859375:-31.918140;1079901123.046875:-32.726039;1099896240.234375:-35.290792;1119891357.421875:-41.130285;1139886474.609375:-49.962530;1159881591.796875:-56.974599;1179876708.984375:-61.252914;1179876708.984375:-61.252914
-92.500000,600018310.546875:-65.290957;620013427.734375:-64.272137;640008544.921875:-61.014548;660003662.109375:-53.558709;679998779.296875:-43.520406;699993896.484375:-35.588705;719989013.671875:-32.430006;739984130.859375:-31.683621;759979248.046875:-31.297105;779974365.234375:-31.086764;799969482.421875:-31.024053;819964599.609375:-31.301594;839959716.796875:-32.034013;859954833.984375:-32.600857;879949951.171875:-32.335985;899945068.359375:-31.543457;919940185.546875:-31.104349;939935302.734375:-31.317038;959930419.921875:-31.344049;979925537.109375:-30.722780;999920654.296875:-30.078451;1019915771.484375:-30.137383;1039910888.671875:-30.360514;1059906005.859375:-30.568019;1079901123.046875:-31.552721;1099896240.234375:-33.962348;1119891357.421875:-39.660240;1139886474.609375:-48.536624;1159881591.796875:-55.726192;1179876708.984375:-60.269853;1179876708.984375:-60.269853
-92.000000,600018310.546875:-65.192163;620013427.734375:-64.236371;640008544.921875:-61.365164;660003662.109375:-54.567412;679998779.296875:-44.570957;699993896.484375:-35.738762;719989013.671875:-31.449292;739984130.859375:-30.239282;759979248.046875:-29.809040;779974365.234375:-29.603572;799969482.421875:-29.500816;819964599.609375:-29.729924;839959716.796875:-30.463019;859954833.984375:-30.932670;879949951.171875:-29.953530;899945068.359375:-27.874812;919940185.546875:-27.085876;939935302.734375:-28.160403;959930419.921875:-29.233079;979925537.109375:-29.112924;999920654.296875:-28.803177;1019915771.484375:-29.113536;1039910888.671875:-29.039974;1059906005.859375:-28.836600;1079901123.046875:-29.595895;1099896240.234375:-32.198036;1119891357.421875:-38.119188;1139886474.609375:-47.215972;1159881591.796875:-54.866429;1179876708.984375:-59.860162;1179876708.984375:-59.860162
-91.500000,600018310.546875:-64.778948;620013427.734375:-63.269277;640008544.921875:-59.328662;660003662.109375:-51.105485;679998779.296875:-40.376305;699993896.484375:-31.794882;719989013.671875:-28.574795;739984130.859375:-28.404490;759979248.046875:-28.379631;779974365.234375:-28.215302;799969482.421875:-28.095751;819964599.609375:-28.310554;839959716.796875:-29.013819;859954833.984375:-29.548746;879949951.171875:-29.244014;899945068.359375:-28.515439;919940185.546875:-28.442983;939935302.734375:-29.142388;959930419.921875:-29.067133;979925537.109375:-27.996888;999920654.296875:-27.138468;1019915771.484375:-27.150914;1039910888.671875:-27.337430;1059906005.859375:-27.403186;1079901123.046875:-28.395413;1099896240.234375:-31.218572;1119891357.421875:-36.971874;1139886474.609375:-45.834545;1159881591.796875:-53.282705;1179876708.984375:-58.276797;1179876708.984375:-58.276797
-91.000000,600018310.546875:-64.370101;620013427.734375:-62.560252;640008544.921875:-58.357289;660003662.109375:-50.531196;679998779.296875:-40.931460;699993896.484375:-32.589173;719989013.671875:-28.437646;739984130.859375:-27.283823;759979248.046875:-26.878008;779974365.234375:-26.660043;799969482.421875:-26.542821;819964599.609375:-26.748906;839959716.796875:-27.422618;859954833.984375:-27.941469;879949951.171875:-27.543013;899945068.359375:-26.123472;919940185.546875:-24.787385;939935302.734375:-25.318566;959930419.921875:-26.315362;979925537.109375:-26.140155;999920654.296875:-25.549839;1019915771.484375:-25.582876;1039910888.671875:-25.749332;1059906005.859375:-25.765253;1079901123.046875:-26.575572;1099896240.234375:-29.217020;1119891357.421875:-35.187206;1139886474.609375:-44.283429;1159881591.796875:-51.847692;1179876708.984375:-57.005054;1179876708.984375:-57.005054
-90.500000,600018310.546875:-63.819409;620013427.734375:-61.811596;640008544.921875:-57.901511;660003662.109375:-50.491467;679998779.296875:-40.176163;699993896.484375:-31.196327;719989013.671875:-26.939746;739984130.859375:-25.793916;759979248.046875:-25.389469;779974365.234375:-25.165405;799969482.421875:-25.043919;819964599.609375:-25.245319;839959716.796875:-25.906136;859954833.984375:-26.310741;879949951.171875:-25.330533;899945068.359375:-23.316180;919940185.546875:-22.605501;939935302.734375:-23.744269;959930419.921875:-24.862974;979925537.109375:-24.686197;999920654.296875:-24.070356;1019915771.484375:-24.080362;1039910888.671875:-24.231377;1059906005.859375:-24.232401;1079901123.046875:-25.043176;1099896240.234375:-27.690868;1119891357.421875:-33.679731;1139886474.609375:-42.829851;1159881591.796875:-50.473098;1179876708.984375:-55.774142;1179876708.984375:-55.774142
-90.000000,600018310.546875:-63.271956;620013427.734375:-60.953866;640008544.921875:-56.628150;660003662.109375:-48.859379;679998779.296875:-38.533088;699993896.484375:-29.610276;719989013.671875:-25.373722;739984130.859375:-24.229766;759979248.046875:-23.836447;779974365.234375:-23.655150;799969482.421875:-23.530863;819964599.609375:-23.689865;839959716.796875:-24.343882;859954833.984375:-24.756868;879949951.171875:-23.784593;899945068.359375:-21.806910;919940185.546875:-21.092765;939935302.734375:-22.216444;959930419.921875:-23.315787;979925537.109375:-23.131734;999920654.296875:-22.520155;1019915771.484375:-22.579210;1039910888.671875:-22.809727;1059906005.859375:-22.743702;1079901123.046875:-23.467010;1099896240.234375:-26.091612;1119891357.421875:-32.102539;1139886474.609375:-41.312793;1159881591.796875:-49.053330;1179876708.984375:-54.541928;1179876708.984375:-54.541928
