"setpoint_db","freq_hz:measured_gain_db"
-94.500000,855026092.529297:-41.932154;865019531.250000:-41.473407;875012969.970703:-41.255163;885006408.691406:-41.144734;894999847.412109:-41.076157;904993286.132812:-41.025631;914986724.853516:-40.979229;924980163.574219:-40.926719;934973602.294922:-40.866493;944967041.015625:-40.810064;954960479.736328:-40.775808;964953918.457031:-40.774887;974947357.177734:-40.805587;984940795.898438:-40.858203;994934234.619141:-40.926397;1004927673.339844:-41.015109;1014921112.060547:-41.137603;1024914550.781250:-41.296874;1034907989.501953:-41.469383;1044901428.222656:-41.612314;1054894866.943359:-41.692223;1064888305.664062:-41.703675;1074881744.384766:-41.660747;1084875183.105469:-41.580662;1094868621.826172:-41.485905;1104862060.546875:-41.414117;1114855499.267578:-41.410671;1124848937.988281:-41.503856;1134842376.708984:-41.681669;1144835815.429688:-41.889685;1154829254.150391:-42.061645;1164822692.871094:-42.150233;1174816131.591797:-42.159447;1184809570.312500:-42.105826;1194803009.033203:-41.990835;1204796447.753906:-41.838340;1214789886.474609:-41.717910;1224783325.195312:-41.683255;1234776763.916016:-41.724515;1244770202.636719:-41.804529;1254763641.357422:-41.911222;1264757080.078125:-42.041551;1274750518.798828:-42.186671;1284743957.519531:-42.318810;1294737396.240234:-42.410989;1304730834.960938:-42.456790;1314724273.681641:-42.471700;1324717712.402344:-42.481150;1334711151.123047:-42.506649;1344704589.843750:-42.555420;1354698028.564453:-42.624534;1364691467.285156:-42.698873;1374684906.005859:-42.779117;1384678344.726562:-42.864166;1394671783.447266:-42.932165;1404665222.167969:-42.971674;1414658660.888672:-43.019143;1424652099.609375:-43.120225;1434645538.330078:-43.281842;1444638977.050781:-43.482567;1454632415.771484:-43.705985;1464625854.492188:-43.914727;1474619293.212891:-44.052660;1484612731.933594:-44.074416;1494606170.654297:-43.993757;1504599609.375000:-43.873077;1514593048.095703:-43.770453;1524586486.816406:-43.712345;1534579925.537109:-43.704971;1544573364.257812:-43.745980;1554566802.978516:-43.834192;1564560241.699219:-43.954025;1574553680.419922:-44.083954;1584547119.140625:-44.182587;1594540557.861328:-44.206484;1604533996.582031:-44.163330;1614527435.302734:-44.151362
-94.000000,855026092.529297:-41.426765;865019531.250000:-40.966861;875012969.970703:-40.749140;885006408.691406:-40.639184;894999847.412109:-40.570264;904993286.132812:-40.518661;914986724.853516:-40.470989;924980163.574219:-40.417787;934973602.294922:-40.358415;944967041.015625:-40.304600;954960479.736328:-40.274179;964953918.457031:-40.277972;974947357.177734:-40.314106;984940795.898438:-40.372099;994934234.619141:-40.444750;1004927673.339844:-40.537143;1014921112.060547:-40.663229;1024914550.781250:-40.830153;1034907989.501953:-41.017579;1044901428.222656:-41.188608;1054894866.943359:-41.301493;1064888305.664062:-41.325078;1074881744.384766:-41.258688;1084875183.105469:-41.138014;1094868621.826172:-41.012045;1104862060.546875:-40.924465;1114855499.267578:-40.912149;1124848937.988281:-40.999572;1134842376.708984:-41.172829;1144835815.429688:-41.380157;1154829254.150391:-41.548123;1164822692.871094:-41.619648;1174816131.591797:-41.581657;1184809570.312500:-41.463203;1194803009.033203:-41.317194;1204796447.753906:-41.201551;1214789886.474609:-41.154938;1224783325.195312:-41.183176;1234776763.916016:-41.262783;1244770202.636719:-41.375326;1254763641.357422:-41.511248;1264757080.078125:-41.654677;1274750518.798828:-41.783725;1284743957.519531:-41.885301;1294737396.240234:-41.952987;1304730834.960938:-41.983335;1314724273.681641:-41.985492;1324717712.402344:-41.986456;1334711151.123047:-42.010021;1344704589.843750:-42.066097;1354698028.564453:-42.140342;1364691467.285156:-42.201593;1374684906.005859:-42.228730;1384678344.726562:-42.234670;1394671783.447266:-42.257908;1404665222.167969:-42.330506;1414658660.888672:-42.458343;1424652099.609375:-42.630734;1434645538.330078:-42.833530;1444638977.050781:-43.064392;1454632415.771484:-43.313202;1464625854.492188:-43.531589;1474619293.212891:-43.651513;1484612731.933594:-43.644850;1494606170.654297:-43.546464;1504599609.375000:-43.418787;1514593048.095703:-43.309996;1524586486.816406:-43.246005;1534579925.537109:-43.233456;1544573364.257812:-43.271523;1554566802.978516:-43.349266;1564560241.699219:-43.441601;1574553680.419922:-43.514902;1584547119.140625:-43.545572;1594540557.861328:-43.540424;1604533996.582031:-43.534525;1614527435.302734:-43.591090
-93.500000,855026092.529297:-40.935107;865019531.250000:-40.472716;875012969.970703:-40.254568;885006408.691406:-40.144278;894999847.412109:-40.073694;904993286.132812:-40.019139;914986724.853516:-39.968276;924980163.574219:-39.912663;934973602.294922:-39.852367;944967041.015625:-39.799433;954960479.736328:-39.771610;964953918.457031:-39.779442;974947357.177734:-39.820452;984940795.898438:-39.883112;994934234.619141:-39.959541;1004927673.339844:-40.055136;1014921112.060547:-40.184366;1024914550.781250:-40.372954;1034907989.501953:-40.617981;1044901428.222656:-40.914524;1054894866.943359:-41.185953;1064888305.664062:-41.280062;1074881744.384766:-41.121521;1084875183.105469:-40.826373;1094868621.826172:-40.567197;1104862060.546875:-40.420592;1114855499.267578:-40.386735;1124848937.988281:-40.469050;1134842376.708984:-40.636034;1144835815.429688:-40.840223;1154829254.150391:-41.011336;1164822692.871094:-41.091348;1174816131.591797:-41.063188;1184809570.312500:-40.952287;1194803009.033203:-40.810287;1204796447.753906:-40.696303;1214789886.474609:-40.651549;1224783325.195312:-40.702139;1234776763.916016:-40.841509;1244770202.636719:-41.080307;1254763641.357422:-41.373867;1264757080.078125:-41.590018;1274750518.798828:-41.636806;1284743957.519531:-41.579515;1294737396.240234:-41.528669;1304730834.960938:-41.508892;1314724273.681641:-41.492967;1324717712.402344:-41.490563;1334711151.123047:-41.511525;1344704589.843750:-41.570523;1354698028.564453:-41.654174;1364691467.285156:-41.726893;1374684906.005859:-41.760237;1384678344.726562:-41.762435;1394671783.447266:-41.774847;1404665222.167969:-41.838319;1414658660.888672:-41.965263;1424652099.609375:-42.161328;1434645538.330078:-42.423189;1444638977.050781:-42.775581;1454632415.771484:-43.175462;1464625854.492188:-43.460658;1474619293.212891:-43.493826;1484612731.933594:-43.325017;1494606170.654297:-43.106530;1504599609.375000:-42.930278;1514593048.095703:-42.809530;1524586486.816406:-42.751908;1534579925.537109:-42.745537;1544573364.257812:-42.787043;1554566802.978516:-42.862399;1564560241.699219:-42.946479;1574553680.419922:-43.010051;1584547119.140625:-43.035498;1594540557.861328:-43.032181;1604533996.582031:-43.032910;1614527435.302734:-43.098145
-93.000000,855026092.529297:-40.431802;865019531.250000:-39.969211;875012969.970703:-39.752492;885006408.691406:-39.643486;894999847.412109:-39.572333;904993286.132812:-39.515217;914986724.853516:-39.460944;924980163.574219:-39.402477;934973602.294922:-39.341009;944967041.015625:-39.289214;954960479.736328:-39.264765;964953918.457031:-39.277640;974947357.177734:-39.324726;984940795.898438:-39.393653;994934234.619141:-39.475946;1004927673.339844:-39.576790;1014921112.060547:-39.710476;1024914550.781250:-39.879370;1034907989.501953:-40.058242;1044901428.222656:-40.202128;1054894866.943359:-40.276113;1064888305.664062:-40.273380;1074881744.384766:-40.208580;1084875183.105469:-40.104036;1094868621.826172:-39.989183;1104862060.546875:-39.903267;1114855499.267578:-39.886961;1124848937.988281:-39.964502;1134842376.708984:-40.127122;1144835815.429688:-40.328392;1154829254.150391:-40.499861;1164822692.871094:-40.584058;1174816131.591797:-40.562941;1184809570.312500:-40.459808;1194803009.033203:-40.323889;1204796447.753906:-40.212873;1214789886.474609:-40.168577;1224783325.195312:-40.196335;1234776763.916016:-40.268627;1244770202.636719:-40.355345;1254763641.357422:-40.451541;1264757080.078125:-40.570438;1274750518.798828:-40.712446;1284743957.519531:-40.850802;1294737396.240234:-40.950868;1304730834.960938:-40.996534;1314724273.681641:-41.000174;1324717712.402344:-40.994301;1334711151.123047:-41.013820;1344704589.843750:-41.075683;1354698028.564453:-41.166874;1364691467.285156:-41.248811;1374684906.005859:-41.288422;1384678344.726562:-41.291132;1394671783.447266:-41.300092;1404665222.167969:-41.361527;1414658660.888672:-41.491290;1424652099.609375:-41.669637;1434645538.330078:-41.865061;1444638977.050781:-42.060239;1454632415.771484:-42.256007;1464625854.492188:-42.439710;1474619293.212891:-42.568014;1484612731.933594:-42.599082;1494606170.654297:-42.538084;1504599609.375000:-42.433085;1514593048.095703:-42.335542;1524586486.816406:-42.276799;1534579925.537109:-42.269691;1544573364.257812:-42.310919;1554566802.978516:-42.385080;1564560241.699219:-42.466668;1574553680.419922:-42.528054;1584547119.140625:-42.553601;1594540557.861328:-42.552025;1604533996.582031:-42.553412;1614527435.302734:-42.616981
-92.500000,855026092.529297:-39.892481;865019531.250000:-39.426948;875012969.970703:-39.209742;885006408.691406:-39.100070;894999847.412109:-39.026404;904993286.132812:-38.965125;914986724.853516:-38.906545;924980163.574219:-38.845091;934973602.294922:-38.782379;944967041.015625:-38.729836;954960479.736328:-38.703384;964953918.457031:-38.712577;974947357.177734:-38.755780;984940795.898438:-38.822766;994934234.619141:-38.906346;1004927673.339844:-39.011257;1014921112.060547:-39.149926;1024914550.781250:-39.354927;1034907989.501953:-39.631736;1044901428.222656:-39.991598;1054894866.943359:-40.342163;1064888305.664062:-40.474372;1074881744.384766:-40.277924;1084875183.105469:-39.906549;1094868621.826172:-39.590661;1104862060.546875:-39.421961;1114855499.267578:-39.382598;1124848937.988281:-39.464855;1134842376.708984:-39.628415;1144835815.429688:-39.828691;1154829254.150391:-39.998449;1164822692.871094:-40.080006;1174816131.591797:-40.054412;1184809570.312500:-39.945275;1194803009.033203:-39.803711;1204796447.753906:-39.689279;1214789886.474609:-39.644524;1224783325.195312:-39.706121;1234776763.916016:-39.875820;1244770202.636719:-40.176763;1254763641.357422:-40.545603;1264757080.078125:-40.794985;1274750518.798828:-40.802256;1284743957.519531:-40.671578;1294737396.240234:-40.566968;1304730834.960938:-40.522259;1314724273.681641:-40.490506;1324717712.402344:-40.474257;1334711151.123047:-40.480352;1344704589.843750:-40.529940;1354698028.564453:-40.612154;1364691467.285156:-40.688100;1374684906.005859:-40.722379;1384678344.726562:-40.717758;1394671783.447266:-40.717409;1404665222.167969:-40.771211;1414658660.888672:-40.899040;1424652099.609375:-41.113344;1434645538.330078:-41.410714;1444638977.050781:-41.825628;1454632415.771484:-42.299703;1464625854.492188:-42.618640;1474619293.212891:-42.614680;1484612731.933594:-42.377144;1494606170.654297:-42.112621;1504599609.375000:-41.922866;1514593048.095703:-41.802066;1524586486.816406:-41.750102;1534579925.537109:-41.747441;1544573364.257812:-41.789520;1554566802.978516:-41.860371;1564560241.699219:-41.936303;1574553680.419922:-41.993575;1584547119.140625:-42.019714;1594540557.861328:-42.023038;1604533996.582031:-42.031043;1614527435.302734:-42.101937
-92.000000,855026092.529297:-39.390995;865019531.250000:-38.925703;875012969.970703:-38.708708;885006408.691406:-38.598364;894999847.412109:-38.522629;904993286.132812:-38.458107;914986724.853516:-38.395994;924980163.574219:-38.331747;934973602.294922:-38.267345;944967041.015625:-38.214007;954960479.736328:-38.187717;964953918.457031:-38.198972;974947357.177734:-38.246847;984940795.898438:-38.320644;994934234.619141:-38.411906;1004927673.339844:-38.524204;1014921112.060547:-38.671443;1024914550.781250:-38.856110;1034907989.501953:-39.056487;1044901428.222656:-39.224399;1054894866.943359:-39.309285;1064888305.664062:-39.294630;1074881744.384766:-39.207777;1084875183.105469:-39.090275;1094868621.826172:-38.975658;1104862060.546875:-38.895333;1114855499.267578:-38.884002;1124848937.988281:-38.961444;1134842376.708984:-39.118803;1144835815.429688:-39.313251;1154829254.150391:-39.480173;1164822692.871094:-39.563205;1174816131.591797:-39.542610;1184809570.312500:-39.439898;1194803009.033203:-39.303912;1204796447.753906:-39.192877;1214789886.474609:-39.152110;1224783325.195312:-39.190257;1234776763.916016:-39.282996;1244770202.636719:-39.393018;1254763641.357422:-39.497405;1264757080.078125:-39.601809;1274750518.798828:-39.722774;1284743957.519531:-39.852163;1294737396.240234:-39.954899;1304730834.960938:-40.002547;1314724273.681641:-40.001002;1324717712.402344:-39.982050;1334711151.123047:-39.985499;1344704589.843750:-40.034194;1354698028.564453:-40.118670;1364691467.285156:-40.199842;1374684906.005859:-40.240006;1384678344.726562:-40.238795;1394671783.447266:-40.238070;1404665222.167969:-40.289715;1414658660.888672:-40.419180;1424652099.609375:-40.610179;1434645538.330078:-40.829837;1444638977.050781:-41.050416;1454632415.771484:-41.254534;1464625854.492188:-41.422254;1474619293.212891:-41.527066;1484612731.933594:-41.548411;1494606170.654297:-41.494216;1504599609.375000:-41.401856;1514593048.095703:-41.316495;1524586486.816406:-41.267413;1534579925.537109:-41.268041;1544573364.257812:-41.313967;1554566802.978516:-41.387811;1564560241.699219:-41.464409;1574553680.419922:-41.520279;1584547119.140625:-41.544782;1594540557.861328:-41.547274;1604533996.582031:-41.554439;1614527435.302734:-41.626426
-91.500000,855026092.529297:-38.908334;865019531.250000:-38.440973;875012969.970703:-38.221306;885006408.691406:-38.108016;894999847.412109:-38.029033;904993286.132812:-37.960926;914986724.853516:-37.894882;924980163.574219:-37.826194;934973602.294922:-37.756836;944967041.015625:-37.699181;954960479.736328:-37.671137;964953918.457031:-37.684209;974947357.177734:-37.736736;984940795.898438:-37.816584;994934234.619141:-37.914249;1004927673.339844:-38.032511;1014921112.060547:-38.182218;1024914550.781250:-38.377320;1034907989.501953:-38.606017;1044901428.222656:-38.849285;1054894866.943359:-39.045866;1064888305.664062:-39.097252;1074881744.384766:-38.963510;1084875183.105469:-38.729730;1094868621.826172:-38.518227;1104862060.546875:-38.391492;1114855499.267578:-38.361309;1124848937.988281:-38.434598;1134842376.708984:-38.588020;1144835815.429688:-38.779740;1154829254.150391:-38.946649;1164822692.871094:-39.033224;1174816131.591797:-39.019160;1184809570.312500:-38.924106;1194803009.033203:-38.794807;1204796447.753906:-38.687971;1214789886.474609:-38.645919;1224783325.195312:-38.689834;1234776763.916016:-38.806756;1244770202.636719:-38.990254;1254763641.357422:-39.207698;1264757080.078125:-39.382652;1274750518.798828:-39.463552;1284743957.519531:-39.484933;1294737396.240234:-39.499734;1304730834.960938:-39.510128;1314724273.681641:-39.499280;1324717712.402344:-39.486667;1334711151.123047:-39.496914;1344704589.843750:-39.551937;1354698028.564453:-39.641226;1364691467.285156:-39.724790;1374684906.005859:-39.764881;1384678344.726562:-39.762657;1394671783.447266:-39.762078;1404665222.167969:-39.815247;1414658660.888672:-39.943152;1424652099.609375:-40.139442;1434645538.330078:-40.380439;1444638977.050781:-40.668700;1454632415.771484:-40.977852;1464625854.492188:-41.207849;1474619293.212891:-41.266337;1484612731.933594:-41.176638;1494606170.654297:-41.034023;1504599609.375000:-40.904963;1514593048.095703:-40.810632;1524586486.816406:-40.766854;1534579925.537109:-40.770466;1544573364.257812:-40.816330;1554566802.978516:-40.888200;1564560241.699219:-40.962625;1574553680.419922:-41.016867;1584547119.140625:-41.040496;1594540557.861328:-41.043862;1604533996.582031:-41.055272;1614527435.302734:-41.133294
-91.000000,855026092.529297:-38.408531;865019531.250000:-37.940953;875012969.970703:-37.718961;885006408.691406:-37.601901;894999847.412109:-37.518879;904993286.132812:-37.447258;914986724.853516:-37.377824;924980163.574219:-37.304812;934973602.294922:-37.229942;944967041.015625:-37.167246;954960479.736328:-37.137418;964953918.457031:-37.153705;974947357.177734:-37.213897;984940795.898438:-37.303973;994934234.619141:-37.412370;1004927673.339844:-37.540012;1014921112.060547:-37.696496;1024914550.781250:-37.910340;1034907989.501953:-38.185269;1044901428.222656:-38.528654;1054894866.943359:-38.852955;1064888305.664062:-38.965840;1074881744.384766:-38.767843;1084875183.105469:-38.402968;1094868621.826172:-38.087557;1104862060.546875:-37.911630;1114855499.267578:-37.861747;1124848937.988281:-37.929673;1134842376.708984:-38.077176;1144835815.429688:-38.263192;1154829254.150391:-38.426236;1164822692.871094:-38.512188;1174816131.591797:-38.500952;1184809570.312500:-38.411058;1194803009.033203:-38.287522;1204796447.753906:-38.185543;1214789886.474609:-38.146231;1224783325.195312:-38.204773;1234776763.916016:-38.363397;1244770202.636719:-38.643230;1254763641.357422:-38.987409;1264757080.078125:-39.226557;1274750518.798828:-39.248358;1284743957.519531:-39.143986;1294737396.240234:-39.058921;1304730834.960938:-39.023356;1314724273.681641:-38.997479;1324717712.402344:-38.987546;1334711151.123047:-39.002903;1344704589.843750:-39.063452;1354698028.564453:-39.156615;1364691467.285156:-39.241623;1374684906.005859:-39.281836;1384678344.726562:-39.280770;1394671783.447266:-39.284118;1404665222.167969:-39.342974;1414658660.888672:-39.474915;1424652099.609375:-39.685314;1434645538.330078:-39.964458;1444638977.050781:-40.342032;1454632415.771484:-40.768417;1464625854.492188:-41.054101;1474619293.212891:-41.049755;1484612731.933594:-40.835943;1494606170.654297:-40.597844;1504599609.375000:-40.426653;1514593048.095703:-40.318447;1524586486.816406:-40.274953;1534579925.537109:-40.278277;1544573364.257812:-40.323741;1554566802.978516:-40.396086;1564560241.699219:-40.472554;1574553680.419922:-40.529888;1584547119.140625:-40.555922;1594540557.861328:-40.559660;1604533996.582031:-40.569822;1614527435.302734:-40.646647
-90.500000,855026092.529297:-37.945630;865019531.250000:-37.475863;875012969.970703:-37.250929;885006408.691406:-37.130142;894999847.412109:-37.043306;904993286.132812:-36.968723;914986724.853516:-36.897206;924980163.574219:-36.821909;934973602.294922:-36.743443;944967041.015625:-36.675633;954960479.736328:-36.640048;964953918.457031:-36.651559;974947357.177734:-36.709714;984940795.898438:-36.801487;994934234.619141:-36.914774;1004927673.339844:-37.048505;1014921112.060547:-37.210035;1024914550.781250:-37.419959;1034907989.501953:-37.676415;1044901428.222656:-37.976884;1054894866.943359:-38.247917;1064888305.664062:-38.341388;1074881744.384766:-38.184207;1084875183.105469:-37.890295;1094868621.826172:-37.630681;1104862060.546875:-37.483025;1114855499.267578:-37.446337;1124848937.988281:-37.519092;1134842376.708984:-37.669709;1144835815.429688:-37.856482;1154829254.150391:-38.017253;1164822692.871094:-38.097703;1174816131.591797:-38.078398;1184809570.312500:-37.979758;1194803009.033203:-37.849748;1204796447.753906:-37.745890;1214789886.474609:-37.708861;1224783325.195312:-37.763153;1234776763.916016:-37.900617;1244770202.636719:-38.129528;1254763641.357422:-38.409684;1264757080.078125:-38.622258;1274750518.798828:-38.684400;1284743957.519531:-38.653384;1294737396.240234:-38.623449;1304730834.960938:-38.610182;1314724273.681641:-38.587950;1324717712.402344:-38.572212;1334711151.123047:-38.580971;1344704589.843750:-38.634164;1354698028.564453:-38.718774;1364691467.285156:-38.794093;1374684906.005859:-38.824866;1384678344.726562:-38.817178;1394671783.447266:-38.818474;1404665222.167969:-38.878652;1414658660.888672:-39.012388;1424652099.609375:-39.215736;1434645538.330078:-39.472256;1444638977.050781:-39.798981;1454632415.771484:-40.160797;1464625854.492188:-40.419167;1474619293.212891:-40.457178;1484612731.933594:-40.322454;1494606170.654297:-40.148220;1504599609.375000:-40.011323;1514593048.095703:-39.921835;1524586486.816406:-39.887687;1534579925.537109:-39.896913;1544573364.257812:-39.945019;1554566802.978516:-40.018997;1564560241.699219:-40.097944;1574553680.419922:-40.158568;1584547119.140625:-40.187393;1594540557.861328:-40.192571;1604533996.582031:-40.203873;1614527435.302734:-40.284035
-90.000000,855026092.529297:-37.443720;865019531.250000:-36.973170;875012969.970703:-36.745627;885006408.691406:-36.620812;894999847.412109:-36.529113;904993286.132812:-36.449368;914986724.853516:-36.372511;924980163.574219:-36.291444;934973602.294922:-36.206914;944967041.015625:-36.133722;954960479.736328:-36.095468;964953918.457031:-36.109148;974947357.177734:-36.174880;984940795.898438:-36.278078;994934234.619141:-36.404006;1004927673.339844:-36.549089;1014921112.060547:-36.719085;1024914550.781250:-36.912891;1034907989.501953:-37.121090;1044901428.222656:-37.317066;1054894866.943359:-37.487838;1064888305.664062:-37.598851;1074881744.384766:-37.582883;1084875183.105469:-37.416686;1094868621.826172:-37.186378;1104862060.546875:-37.012683;1114855499.267578:-36.954778;1124848937.988281:-37.009167;1134842376.708984:-37.152813;1144835815.429688:-37.332557;1154829254.150391:-37.488364;1164822692.871094:-37.567519;1174816131.591797:-37.550681;1184809570.312500:-37.456842;1194803009.033203:-37.332165;1204796447.753906:-37.232937;1214789886.474609:-37.199187;1224783325.195312:-37.233746;1234776763.916016:-37.320266;1244770202.636719:-37.443325;1254763641.357422:-37.623713;1264757080.078125:-37.856022;1274750518.798828:-38.063119;1284743957.519531:-38.165183;1294737396.240234:-38.170493;1304730834.960938:-38.136537;1314724273.681641:-38.098598;1324717712.402344:-38.072074;1334711151.123047:-38.083493;1344704589.843750:-38.139355;1354698028.564453:-38.225934;1364691467.285156:-38.302557;1374684906.005859:-38.334693;1384678344.726562:-38.329397;1394671783.447266:-38.334165;1404665222.167969:-38.397218;1414658660.888672:-38.530917;1424652099.609375:-38.709364;1434645538.330078:-38.908351;1444638977.050781:-39.121389;1454632415.771484:-39.374031;1464625854.492188:-39.643036;1474619293.212891:-39.821224;1484612731.933594:-39.821560;1494606170.654297:-39.689113;1504599609.375000:-39.538242;1514593048.095703:-39.437046;1524586486.816406:-39.392917;1534579925.537109:-39.402919;1544573364.257812:-39.450970;1554566802.978516:-39.525357;1564560241.699219:-39.606215;1574553680.419922:-39.669723;1584547119.140625:-39.700745;1594540557.861328:-39.706437;1604533996.582031:-39.717215;1614527435.302734:-39.797383
-89.500000,855026092.529297:-36.958170;865019531.250000:-36.486237;875012969.970703:-36.256091;885006408.691406:-36.126908;894999847.412109:-36.029396;904993286.132812:-35.943453;914986724.853516:-35.860821;924980163.574219:-35.774378;934973602.294922:-35.684712;944967041.015625:-35.607352;954960479.736328:-35.567634;964953918.457031:-35.584016;974947357.177734:-35.656172;984940795.898438:-35.767565;994934234.619141:-35.901548;1004927673.339844:-36.053562;1014921112.060547:-36.229011;1024914550.781250:-36.442011;1034907989.501953:-36.685764;1044901428.222656:-36.948149;1054894866.943359:-37.166352;1064888305.664062:-37.229540;1074881744.384766:-37.088122;1084875183.105469:-36.832755;1094868621.826172:-36.599386;1104862060.546875:-36.457792;1114855499.267578:-36.416948;1124848937.988281:-36.478295;1134842376.708984:-36.615365;1144835815.429688:-36.789358;1154829254.150391:-36.942898;1164822692.871094:-37.024538;1174816131.591797:-37.013673;1184809570.312500:-36.926484;1194803009.033203:-36.806975;1204796447.753906:-36.711245;1214789886.474609:-36.680295;1224783325.195312:-36.732993;1234776763.916016:-36.855634;1244770202.636719:-37.047499;1254763641.357422:-37.280375;1264757080.078125:-37.472542;1274750518.798828:-37.563178;1284743957.519531:-37.585065;1294737396.240234:-37.596000;1304730834.960938:-37.602642;1314724273.681641:-37.590447;1324717712.402344:-37.580230;1334711151.123047:-37.594656;1344704589.843750:-37.652697;1354698028.564453:-37.741242;1364691467.285156:-37.820127;1374684906.005859:-37.854828;1384678344.726562:-37.851900;1394671783.447266:-37.857786;1404665222.167969:-37.919225;1414658660.888672:-38.048187;1424652099.609375:-38.236261;1434645538.330078:-38.465017;1444638977.050781:-38.743984;1454632415.771484:-39.047976;1464625854.492188:-39.274357;1474619293.212891:-39.330598;1484612731.933594:-39.243541;1494606170.654297:-39.110736;1504599609.375000:-38.997468;1514593048.095703:-38.921201;1524586486.816406:-38.892366;1534579925.537109:-38.902131;1544573364.257812:-38.946603;1554566802.978516:-39.016130;1564560241.699219:-39.092965;1574553680.419922:-39.154065;1584547119.140625:-39.184037;1594540557.861328:-39.190195;1604533996.582031:-39.204118;1614527435.302734:-39.291382
