"setpoint_db","freq_hz:measured_gain_db"
-94.500000,1800000000.000000:-60.508095;1819995117.187500:-59.354189;1839990234.375000:-58.587355;1859985351.562500:-59.404023;1879980468.750000:-58.787278;1899975585.937500:-55.631721;1919970703.125000:-50.860130;1939965820.312500:-45.691447;1959960937.500000:-41.489450;1979956054.687500:-39.243962;1999951171.875000:-38.470275;2019946289.062500:-38.052867;2039941406.250000:-37.715643;2059936523.437500:-37.462089;2079931640.625000:-37.249078;2099926757.812500:-37.074299;2119921875.000000:-37.101605;2139916992.187500:-37.557796;2159912109.375000:-38.371162;2179907226.562500:-39.103165;2199902343.750000:-39.446502;2219897460.937500:-39.462783;2239892578.125000:-39.358138;2259887695.312500:-39.012101;2279882812.500000:-38.627661;2299877929.687500:-38.590723;2319873046.875000:-39.173737;2339868164.062500:-40.372852;2359863281.250000:-41.514016;2379858398.437500:-41.462362;2399853515.625000:-39.452799;2419848632.812500:-37.240080;2439843750.000000:-37.860430;2459838867.187500:-39.599730;2479833984.375000:-40.733041;2499829101.562500:-40.740455;2519824218.750000:-39.777259;2539819335.937500:-39.252560;2559814453.125000:-40.174349;2579809570.312500:-42.435785;2599804687.500000:-44.290144;2619799804.687500:-44.218790;2639794921.875000:-43.272453;2659790039.062500:-43.537072;2679785156.250000:-45.650121;2679785156.250000:-45.650121
-94.000000,1800000000.000000:-60.431497;1819995117.187500:-59.292384;1839990234.375000:-58.463841;1859985351.562500:-59.053009;1879980468.750000:-58.190585;1899975585.937500:-54.788607;1919970703.125000:-49.795183;1939965820.312500:-44.479222;1959960937.500000:-40.211062;1979956054.687500:-37.935446;1999951171.875000:-37.159247;2019946289.062500:-36.749441;2039941406.250000:-36.379575;2059936523.437500:-36.106637;2079931640.625000:-35.900331;2099926757.812500:-35.739664;2119921875.000000:-35.784541;2139916992.187500:-36.251854;2159912109.375000:-37.064218;2179907226.562500:-37.805378;2199902343.750000:-38.157727;2219897460.937500:-38.199283;2239892578.125000:-38.172358;2259887695.312500:-37.927446;2279882812.500000:-37.588331;2299877929.687500:-37.551865;2319873046.875000:-38.103360;2339868164.062500:-39.233253;2359863281.250000:-40.286303;2379858398.437500:-40.247339;2399853515.625000:-38.428898;2419848632.812500:-36.343849;2439843750.000000:-36.826965;2459838867.187500:-38.379310;2479833984.375000:-39.422683;2499829101.562500:-39.465342;2519824218.750000:-38.630917;2539819335.937500:-38.218052;2559814453.125000:-39.149508;2579809570.312500:-41.240185;2599804687.500000:-42.832867;2619799804.687500:-42.743426;2639794921.875000:-42.018584;2659790039.062500:-42.475130;2679785156.250000:-44.820720;2679785156.250000:-44.820720
-93.500000,1800000000.000000:-60.367866;1819995117.187500:-59.203717;1839990234.375000:-58.236465;1859985351.562500:-58.515515;1879980468.750000:-57.382709;1899975585.937500:-53.764104;1919970703.125000:-48.619666;1939965820.312500:-43.192358;1959960937.500000:-38.832659;1979956054.687500:-36.491363;1999951171.875000:-35.687988;2019946289.062500:-35.276653;2039941406.250000:-34.886679;2059936523.437500:-34.607381;2079931640.625000:-34.420101;2099926757.812500:-34.277858;2119921875.000000:-34.331487;2139916992.187500:-34.807818;2159912109.375000:-35.632506;2179907226.562500:-36.372445;2199902343.750000:-36.706063;2219897460.937500:-36.726423;2239892578.125000:-36.706443;2259887695.312500:-36.499501;2279882812.500000:-36.171815;2299877929.687500:-36.152453;2319873046.875000:-36.712570;2339868164.062500:-37.798105;2359863281.250000:-38.800475;2379858398.437500:-38.840015;2399853515.625000:-37.252316;2419848632.812500:-35.285774;2439843750.000000:-35.582095;2459838867.187500:-36.927718;2479833984.375000:-37.870686;2499829101.562500:-37.935901;2519824218.750000:-37.247927;2539819335.937500:-36.962224;2559814453.125000:-37.891548;2579809570.312500:-39.832526;2599804687.500000:-41.287400;2619799804.687500:-41.253669;2639794921.875000:-40.799152;2659790039.062500:-41.505459;2679785156.250000:-44.174196;2679785156.250000:-44.174196
-93.000000,1800000000.000000:-60.370983;1819995117.187500:-59.235503;1839990234.375000:-58.165800;1859985351.562500:-58.121775;1879980468.750000:-56.730418;1899975585.937500:-52.926845;1919970703.125000:-47.638683;1939965820.312500:-42.088278;1959960937.500000:-37.629220;1979956054.687500:-35.234978;1999951171.875000:-34.423472;2019946289.062500:-34.022375;2039941406.250000:-33.617437;2059936523.437500:-33.337267;2079931640.625000:-33.177513;2099926757.812500:-33.059351;2119921875.000000:-33.119987;2139916992.187500:-33.601120;2159912109.375000:-34.432911;2179907226.562500:-35.166212;2199902343.750000:-35.464842;2219897460.937500:-35.448957;2239892578.125000:-35.428454;2259887695.312500:-35.258660;2279882812.500000:-34.957237;2299877929.687500:-34.960929;2319873046.875000:-35.526537;2339868164.062500:-36.577486;2359863281.250000:-37.517691;2379858398.437500:-37.588793;2399853515.625000:-36.196298;2419848632.812500:-34.340887;2439843750.000000:-34.477843;2459838867.187500:-35.649128;2479833984.375000:-36.506902;2499829101.562500:-36.574428;2519824218.750000:-36.001005;2539819335.937500:-35.841390;2559814453.125000:-36.790976;2579809570.312500:-38.600625;2599804687.500000:-39.897532;2619799804.687500:-39.938043;2639794921.875000:-39.780716;2659790039.062500:-40.749788;2679785156.250000:-43.691431;2679785156.250000:-43.691431
-92.500000,1800000000.000000:-60.267230;1819995117.187500:-59.107455;1839990234.375000:-57.884202;1859985351.562500:-57.462693;1879980468.750000:-55.759957;1899975585.937500:-51.768726;1919970703.125000:-46.362172;1939965820.312500:-40.719877;1959960937.500000:-36.182912;1979956054.687500:-33.730740;1999951171.875000:-32.889378;2019946289.062500:-32.480566;2039941406.250000:-32.064212;2059936523.437500:-31.794443;2079931640.625000:-31.675246;2099926757.812500:-31.594470;2119921875.000000:-31.672256;2139916992.187500:-32.156252;2159912109.375000:-32.975728;2179907226.562500:-33.682215;2199902343.750000:-33.938152;2219897460.937500:-33.871064;2239892578.125000:-33.815415;2259887695.312500:-33.655973;2279882812.500000:-33.385965;2299877929.687500:-33.435905;2319873046.875000:-34.040258;2339868164.062500:-35.075331;2359863281.250000:-35.961054;2379858398.437500:-36.035565;2399853515.625000:-34.797230;2419848632.812500:-33.086595;2439843750.000000:-33.088300;2459838867.187500:-34.063045;2479833984.375000:-34.834162;2499829101.562500:-34.941334;2519824218.750000:-34.501450;2539819335.937500:-34.436595;2559814453.125000:-35.329418;2579809570.312500:-36.932999;2599804687.500000:-38.112756;2619799804.687500:-38.282058;2639794921.875000:-38.364283;2659790039.062500:-39.455792;2679785156.250000:-42.322358;2679785156.250000:-42.322358
-92.000000,1800000000.000000:-60.225377;1819995117.187500:-59.016267;1839990234.375000:-57.658791;1859985351.562500:-56.841154;1879980468.750000:-54.795987;1899975585.937500:-50.603161;1919970703.125000:-45.071594;1939965820.312500:-39.354402;1959960937.500000:-34.780767;1979956054.687500:-32.301690;1999951171.875000:-31.438163;2019946289.062500:-31.015724;2039941406.250000:-30.591757;2059936523.437500:-30.342588;2079931640.625000:-30.266839;2099926757.812500:-30.230550;2119921875.000000:-30.341304;2139916992.187500:-30.831673;2159912109.375000:-31.619667;2179907226.562500:-32.283749;2199902343.750000:-32.498261;2219897460.937500:-32.391105;2239892578.125000:-32.312864;2259887695.312500:-32.177975;2279882812.500000:-31.957727;2299877929.687500:-32.055979;2319873046.875000:-32.712432;2339868164.062500:-33.782654;2359863281.250000:-34.665790;2379858398.437500:-34.732668;2399853515.625000:-33.566485;2419848632.812500:-31.941541;2439843750.000000:-31.837440;2459838867.187500:-32.650914;2479833984.375000:-33.357879;2499829101.562500:-33.515316;2519824218.750000:-33.185184;2539819335.937500:-33.189242;2559814453.125000:-34.041749;2579809570.312500:-35.484684;2599804687.500000:-36.542411;2619799804.687500:-36.799163;2639794921.875000:-37.051795;2659790039.062500:-38.202032;2679785156.250000:-40.898555;2679785156.250000:-40.898555
-91.500000,1800000000.000000:-60.434659;1819995117.187500:-59.119228;1839990234.375000:-57.608714;1859985351.562500:-56.377721;1879980468.750000:-54.025119;1899975585.937500:-49.676500;1919970703.125000:-44.045931;1939965820.312500:-38.245606;1959960937.500000:-33.593905;1979956054.687500:-31.050421;1999951171.875000:-30.148580;2019946289.062500:-29.714531;2039941406.250000:-29.286558;2059936523.437500:-29.069721;2079931640.625000:-29.059217;2099926757.812500:-29.085042;2119921875.000000:-29.238172;2139916992.187500:-29.742309;2159912109.375000:-30.504587;2179907226.562500:-31.105870;2199902343.750000:-31.239013;2219897460.937500:-31.059366;2239892578.125000:-30.943222;2259887695.312500:-30.815484;2279882812.500000:-30.645826;2299877929.687500:-30.845949;2319873046.875000:-31.596793;2339868164.062500:-32.701498;2359863281.250000:-33.581447;2379858398.437500:-33.680831;2399853515.625000:-32.609042;2419848632.812500:-30.999547;2439843750.000000:-30.723424;2459838867.187500:-31.369779;2479833984.375000:-31.976689;2499829101.562500:-32.110242;2519824218.750000:-31.863968;2539819335.937500:-31.980958;2559814453.125000:-32.873733;2579809570.312500:-34.249057;2599804687.500000:-35.239376;2619799804.687500:-35.543809;2639794921.875000:-35.956155;2659790039.062500:-37.223580;2679785156.250000:-39.880538;2679785156.250000:-39.880538
-91.000000,1800000000.000000:-60.310191;1819995117.187500:-58.865999;1839990234.375000:-57.208503;1859985351.562500:-55.541805;1879980468.750000:-52.871753;1899975585.937500:-48.422214;1919970703.125000:-42.741493;1939965820.312500:-36.853676;1959960937.500000:-32.107371;1979956054.687500:-29.500329;1999951171.875000:-28.566227;2019946289.062500:-28.131387;2039941406.250000:-27.727984;2059936523.437500:-27.561857;2079931640.625000:-27.614300;2099926757.812500:-27.687255;2119921875.000000:-27.864817;2139916992.187500:-28.366180;2159912109.375000:-29.086881;2179907226.562500:-29.600789;2199902343.750000:-29.623582;2219897460.937500:-29.345885;2239892578.125000:-29.178381;2259887695.312500:-29.087734;2279882812.500000:-29.027371;2299877929.687500:-29.339262;2319873046.875000:-30.165659;2339868164.062500:-31.279398;2359863281.250000:-32.102442;2379858398.437500:-32.142706;2399853515.625000:-31.120695;2419848632.812500:-29.591981;2439843750.000000:-29.212439;2459838867.187500:-29.697754;2479833984.375000:-30.221788;2499829101.562500:-30.389036;2519824218.750000:-30.265258;2539819335.937500:-30.485452;2559814453.125000:-31.391692;2579809570.312500:-32.673705;2599804687.500000:-33.590494;2619799804.687500:-33.980359;2639794921.875000:-34.522334;2659790039.062500:-35.788195;2679785156.250000:-38.237530;2679785156.250000:-38.237530
-90.500000,1800000000.000000:-60.320913;1819995117.187500:-58.792445;1839990234.375000:-56.994084;1859985351.562500:-54.838676;1879980468.750000:-51.808628;1899975585.937500:-47.248433;1919970703.125000:-41.507838;1939965820.312500:-35.532109;1959960937.500000:-30.703112;1979956054.687500:-28.039096;1999951171.875000:-27.068180;2019946289.062500:-26.628934;2039941406.250000:-26.249355;2059936523.437500:-26.125796;2079931640.625000:-26.237244;2099926757.812500:-26.368430;2119921875.000000:-26.582509;2139916992.187500:-27.073572;2159912109.375000:-27.739342;2179907226.562500:-28.164478;2199902343.750000:-28.076185;2219897460.937500:-27.708007;2239892578.125000:-27.511893;2259887695.312500:-27.481424;2279882812.500000:-27.534486;2299877929.687500:-27.962370;2319873046.875000:-28.872033;2339868164.062500:-30.001408;2359863281.250000:-30.785461;2379858398.437500:-30.790631;2399853515.625000:-29.805852;2419848632.812500:-28.325199;2439843750.000000:-27.868072;2459838867.187500:-28.250555;2479833984.375000:-28.711202;2499829101.562500:-28.876568;2519824218.750000:-28.816078;2539819335.937500:-29.098509;2559814453.125000:-30.014063;2579809570.312500:-31.259218;2599804687.500000:-32.166366;2619799804.687500:-32.629463;2639794921.875000:-33.252341;2659790039.062500:-34.486747;2679785156.250000:-36.740035;2679785156.250000:-36.740035
-90.000000,1800000000.000000:-60.388544;1819995117.187500:-58.437058;1839990234.375000:-56.486075;1859985351.562500:-53.938669;1879980468.750000:-50.570697;1899975585.937500:-45.871008;1919970703.125000:-40.074307;1939965820.312500:-34.065561;1959960937.500000:-29.223728;1979956054.687500:-26.543987;1999951171.875000:-25.554150;2019946289.062500:-25.104914;2039941406.250000:-24.729815;2059936523.437500:-24.627008;2079931640.625000:-24.770197;2099926757.812500:-24.935033;2119921875.000000:-25.177578;2139916992.187500:-25.676504;2159912109.375000:-26.300431;2179907226.562500:-26.650817;2199902343.750000:-26.510351;2219897460.937500:-26.114853;2239892578.125000:-25.921271;2259887695.312500:-25.949003;2279882812.500000:-26.087711;2299877929.687500:-26.572751;2319873046.875000:-27.523076;2339868164.062500:-28.671739;2359863281.250000:-29.428828;2379858398.437500:-29.382453;2399853515.625000:-28.399268;2419848632.812500:-26.978362;2439843750.000000:-26.506794;2459838867.187500:-26.841241;2479833984.375000:-27.291777;2499829101.562500:-27.482483;2519824218.750000:-27.449042;2539819335.937500:-27.712706;2559814453.125000:-28.564051;2579809570.312500:-29.745142;2599804687.500000:-30.649521;2619799804.687500:-31.188450;2639794921.875000:-31.866724;2659790039.062500:-33.044386;2679785156.250000:-35.106977;2679785156.250000:-35.106977
